beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
1,-1,0.5,0,30,"GEV(1, 1)",0.5371,0.062375966,0.997,0.532,0.236,0,3,0,997,206,247,15,532,563,157,44,236
1,-1,0.5,-0.1,30,"GEV(1, 1)",0.5235,0.062377906,0.995,0.519,0.209,0,5,0,995,204,251,26,519,600,137,54,209
1,-1,0.5,-0.2,30,"GEV(1, 1)",0.531666667,0.060473251,0.989,0.552,0.256,0,11,0,989,189,244,15,552,538,163,43,256
1,-1,0.5,0.1,30,"GEV(1, 1)",0.529766667,0.064777612,0.998,0.514,0.212,0,2,0,998,202,259,25,514,560,183,45,212
1,-1,0.5,0.2,30,"GEV(1, 1)",0.544666667,0.061984651,1,0.518,0.215,0,0,0,1000,187,276,19,518,528,214,43,215
1,-2,0.5,0,30,"GEV(1, 1)",0.532233333,0.032581371,0.997,0.513,0.31,0,3,0,997,10,454,23,513,65,537,88,310
1,-2,0.5,-0.1,30,"GEV(1, 1)",0.5253,0.032257723,0.991,0.511,0.328,1,8,0,991,9,461,19,511,56,540,76,328
1,-2,0.5,-0.2,30,"GEV(1, 1)",0.514366667,0.03171309,0.991,0.549,0.347,0,9,0,991,5,431,15,549,50,536,67,347
1,-2,0.5,0.1,30,"GEV(1, 1)",0.5368,0.029508602,0.998,0.534,0.307,0,2,0,998,6,441,19,534,56,562,75,307
1,-2,0.5,0.2,30,"GEV(1, 1)",0.538433333,0.02743587,0.998,0.523,0.321,1,1,0,998,2,463,12,523,32,598,49,321
1,-4,0.5,0,30,"GEV(1, 1)",0.5075,0.005147787,0.993,0.345,0.209,0,7,0,993,0,655,0,345,0,790,1,209
1,-4,0.5,-0.1,30,"GEV(1, 1)",0.508466667,0.004641846,0.996,0.345,0.209,0,4,0,996,0,655,0,345,0,787,4,209
1,-4,0.5,-0.2,30,"GEV(1, 1)",0.5036,0.00284989,0.991,0.368,0.25,0,9,0,991,0,632,0,368,0,749,1,250
1,-4,0.5,0.1,30,"GEV(1, 1)",0.509966667,0.003689911,0.997,0.377,0.22,0,3,0,997,3,620,0,377,3,775,2,220
1,-4,0.5,0.2,30,"GEV(1, 1)",0.509266667,0.003566584,0.997,0.381,0.226,2,1,0,997,3,616,0,381,3,770,1,226
1,0,0,0,30,"GEV(1, 0)",NA,NA,0,0.067,0.163,0,2,0,998,143,385,67,405,411,256,163,170
1,0,0,-0.1,30,"GEV(1, 0)",NA,NA,0,0.067,0.164,0,3,0,997,162,366,67,405,417,253,164,166
1,0,0,-0.2,30,"GEV(1, 0)",NA,NA,0,0.056,0.157,0,5,0,995,138,318,56,488,384,234,157,225
1,0,0,0.1,30,"GEV(1, 0)",NA,NA,0,0.07,0.179,0,0,0,1000,146,366,70,418,372,269,179,180
1,0,0,0.2,30,"GEV(1, 0)",NA,NA,0,0.078,0.183,0,0,0,1000,111,374,78,437,391,258,183,168
1,1,0.5,0,30,"GEV(1, 1)",0.515033333,0.061256366,0.994,0.397,0.175,0,6,0,994,6,479,118,397,20,472,333,175
1,1,0.5,-0.1,30,"GEV(1, 1)",0.504533333,0.061443114,0.991,0.438,0.215,0,9,0,991,6,451,105,438,25,452,308,215
1,1,0.5,-0.2,30,"GEV(1, 1)",0.5089,0.063480938,0.986,0.462,0.245,0,14,0,986,4,438,96,462,17,437,301,245
1,1,0.5,0.1,30,"GEV(1, 1)",0.4795,0.063989295,0.998,0.407,0.178,0,2,0,998,1,494,98,407,14,498,310,178
1,1,0.5,0.2,30,"GEV(1, 1)",0.483533333,0.063278794,0.998,0.461,0.22,0,2,0,998,2,431,106,461,20,457,303,220
1,2,0.5,0,30,"GEV(1, 1)",0.493666667,0.032261039,0.983,0.369,0.187,2,15,0,983,8,576,47,369,11,643,159,187
1,2,0.5,-0.1,30,"GEV(1, 1)",0.506133333,0.031451612,0.981,0.363,0.185,0,19,0,981,2,586,49,363,7,654,154,185
1,2,0.5,-0.2,30,"GEV(1, 1)",0.509233333,0.031996742,0.971,0.399,0.225,0,29,0,971,9,538,54,399,12,599,164,225
1,2,0.5,0.1,30,"GEV(1, 1)",0.484633333,0.029670202,0.984,0.355,0.18,1,15,0,984,8,594,43,355,13,655,152,180
1,2,0.5,0.2,30,"GEV(1, 1)",0.487566667,0.027438406,0.989,0.382,0.196,0,11,0,989,3,575,40,382,6,655,143,196
